#       BSFG          |   BSFG with ED   |       CT
# 1 2 3  4   5    6    7   8     9    10   11  12   13   14   15
Z A El a   da   E1  dE1 atil datil  E2  dE2  T    dT   E0   dE0
82 207 Pb  11.08 54  0.60 42  19.85 158 -1.73 67  0.91 9  0.23 57 
82 208 Pb  10.01 60  1.17 39  18.41 168 -0.67 64  1.06 11  0.52 67 
82 209 Pb  11.22 58  0.61 55  27.12 355  0.31 51  0.77 12  0.69 49 
83 210 Bi  11.40 49 -1.24 29  19.73 118  -2.21 42  0.82 8  -1.43 53 
88 227 Ra  24.33 65 -0.86 12  22.91 60  -0.84 12  0.46 2  -1.56 20 
90 229 Th  25.35 88 -0.77 15  24.01 179  -0.76 15  0.45 3  -1.49 22 
90 230 Th  24.33 46  0.05 9  23.13 43  0.06 8  0.47 1 -0.59 14 
90 231 Th  26.41 41 -0.42 8  25.17 39  -0.40 7  0.43 2  -1.16 17 
90 233 Th  25.98 34 -0.58 9  24.75 32  -0.57 9  0.43 1  -1.29 15 
91 233 Pa  22.27 44 -0.98 9  21.32 42  -0.96 9  0.53 2  -1.87 16 
91 234 Pa  28.01 62 -0.70 13  26.92 59  -0.69 13  0.41 2  -1.37 23 
92 233 U  25.37 43 -0.51 9  24.69 42  -0.50 9  0.45 1  -1.17 16 
92 234 U  25.24 22  0.30 6  24.52 21  0.30 6  0.45 1 -0.38 11 
92 235 U  25.08 30 -0.51 9  24.44 29  -0.50 9  0.45 2  -1.22 20 
92 236 U  25.76 21  0.14 7  25.07 20  0.15 7  0.44 1 -0.46 13 
92 237 U  25.60 39 -0.43 12  25.04 38  -0.42 12  0.43 2  -1.02 23 
92 238 U  25.26 35  0.06 8  24.48 34  0.07 8  0.45 1 -0.59 14 
